iter	Passed	Remaining
0	1	164
1	3	161
2	4	154
3	5	143
4	7	140
5	8	139
6	10	138
7	11	136
8	13	133
9	14	131
10	16	130
11	17	129
12	18	127
13	20	124
14	21	123
15	23	121
16	24	120
17	25	118
18	27	116
19	28	114
20	30	114
21	31	112
22	33	110
23	34	108
24	35	107
25	37	105
26	38	104
27	39	102
28	41	101
29	42	99
30	44	98
31	45	97
32	47	95
33	48	94
34	50	92
35	51	91
36	52	90
37	54	88
38	55	86
39	56	85
40	58	84
41	59	81
42	60	80
43	61	78
44	63	77
45	64	75
46	66	74
47	67	73
48	68	71
49	70	70
50	71	68
51	72	67
52	74	65
53	75	64
54	76	62
55	77	61
56	79	59
57	80	58
58	81	56
59	83	55
60	84	54
61	86	53
62	87	51
63	89	50
64	90	48
65	92	47
66	93	46
67	94	44
68	96	43
69	97	41
70	98	40
71	100	39
72	101	37
73	103	36
74	104	34
75	105	33
76	107	32
77	108	30
78	109	29
79	111	27
80	112	26
81	113	25
82	115	23
83	116	22
84	118	20
85	119	19
86	120	18
87	122	16
88	123	15
89	124	13
90	126	12
91	127	11
92	129	9
93	130	8
94	132	6
95	133	5
96	135	4
97	136	2
98	138	1
99	139	0
